orden,rama,ocupacion,tareas,tecno
893,PELUQUERIA A DOMICILIO,PELUQUERA A DOMICILIO,"CORTE DE CABELLO, COLOR, PERMANENTE","TIJERAS, PEINES, PINCELES, SECADOR DE CABELLO, CEPILLOS, CAPAS, GORROS, RULEROS, PINZAS, ETC"
894,CLUB DE FUTBOL,AYUDANTE DE ENTRENADOR,ENTRENA Y DIRIGE A CHICOS DE FUTBOL INFANTIL,"PELOTAS, CHALECOS"
895,DISTRIBUIDORA DE GOLOSINAS,CAJERA - REPOSITORA,"COBRABA, FACTURABA, DEPONIA MERCADERIA, LIMPIABA BAÑO","COMPUTADORA, ARTICULOS DE LIMPIEZA, PAPELES, RECIBE FACTURAS"
896,CASA PARTICULAR,JARDINERO,"ARREGLA PLANTAS, CORTA EL PASTO, RIEGA","MAQUINA DE CORTAR, CESPED, PALA, HACHA, TIJERA DE PODAR"
898,CASA DE FAMILIA,EMPLEADA DOMESTICA CON CAMA ADENTRO,"LIMPIEZA DE LA VIVIENDA, CUIDADO DE NIÑOS","TRAPO Y SECADOR, ESCOBA, GAMUZA, PLUMERO, JUGUETES, ETC"
904,CASA DE FAMILIA,EMPLEADA DOMESTICA,"LIMPIA Y ORDENA LA CASA, LAVA EN LAVARROPAS","LAMPAZO, ESCOBILLON, FREGONA, FRANELA, ART DE LIMPIEZA"
906,CONSTRUCCION DE OBRAS VIALES,CONSTRUCTOR (OFICIAL ALBAÑIL),"COLOCACION DE CAÑERIAS, MANEJO DE MAQUINARIA, TAREAS DE ALBAÑILERIA","PALA, AZADON, CUCHARA DE ALBAÑIL, RETROEXCAVADORA, CAÑOS, CEMENTO"
912,PREPARACION DE UVAS PARA EXPORTACION,OPERARIA,LIMPIABA UVAS PARA EXPORTACION,"TIJERA, PINCEL, GUANTES, CAJONES"
916,DOMICILIO PARTICULAR,NIÑERA,"CUIDADO DE NIÑOS, ALIMENTARIOS, ENTRETENERLAS","UTENSILIOS DE COCINA, JUGUETES"
918,ADMINISTRACION PUBLICA DE LA PROVINCIA,MAESTRANZA,LIMPIEZA Y ASEO DE OFICINAS ADMINISTRATIVAS,"LAMPAZO, FREGONA, TRAPOS O GAMUZA, ARTICULOS DE LIMPIEZA"
923,ATENCION PRIMARIA DE LA SALUD,ENFERMERA,"CUIDADO DE ENFERMOS, ASISTENCIA MEDICOS","TENSIOMETRO, TERMOMETRO, LAPICERA, AGUJAS, JERINGAS, GUANTES"
925,VENTA DE INDUMENTARIA MASCULINO,VENDEDOR,VENTA Y ASESORAMIENTOS DE INDUMENTARIA MASCULINA,"CALCULADORA, LAPICERA"
926,CONSTRUCCION EDILICIA,INGENIERO CIVIL,"APROBACION PLANOS, CONTROL DE OBRA, DISEÑO DE OBRA","COMPUTADORA, TABLEROS, APARATOS DE MEDICION"
927,EDUCACION SECUNDARIA,PROFESORA DE MUSICA,ENSEÑANZA DE CONTENIDOS BASICOS DE MUSICA,INSTRUMENTOS DE MUSICA
933,CIBER,ATENCION AL PUBLICO,"ATENCION DE LOCAL, COBRO DEL SERVICIO","PC, IMPRESORA, CALCULADORA"
942,FABRICACION Y REVESTIMIENTOS EN MARMOL,MARMOLERO,"FABRICACION Y REVESTIMIENTO DE PISOS, MESADAS EN MARMOL","CORTADORA, PULIDORA, LLAVES"
943,,EMPLEADA DOMESTICA,"LIMPIEZA DE VIVIENDA, PLANCHADO","BALDES, FREGONA, ARTICULOS VARIOS DE LIMPIEZA, PLANCHA"
957,COMERCIALIZACION DE NEUMATICOS PARA AUTOS,VENDEDOR,VENTA DE NEUMATICOS PARA AUTOMOTORES,"NEUMATICOS, LLANTA DE AUTO, LLAVES, CALCULADORA"
958,TRANSPORTE DE ESCOLARES PRIVADO,CHOFER,TRASLADO DE MENORES ESCOLARES,TRANSPORTE DE AUTOMOTOR (COMBI)
967,COMERCIO,COMERCIANTE,ATENCION AL PUBLICO,CAJA REGISTRADORA
976,ENCUESTAS,ENCUESTADORA,"ENCUESTAR A DIFERENTES PERSONAS, HOGARES, ETC","AUTO, LAPICERA"
980,POLICIA - SEGURIDAD PUBLICA -,POLICIA,"PATRULLA, CONTROLA, VIGILA","RADIO, GPS, ARMA, ESPOSAS"
991,POLICIA FEDERAL,POLICIA FEDERAL,DOCUMENTACION,LAPICERA Y PAPEL
1005,TALLER AUTO,MANTENIMIENTO,LIMPIEZA Y ACONDICIONAMIENTO DE VIVIENDAS,NINGUNO
1006,COLOCACION DE BOMBAS,OPERARIO,MANTENIMIENTO DE BOMBAS,"LLAVES, DESTORNILLADOR"
1012,COMERCIANTE,COMERCIANTE CHEF,"ATENDER NEGOCIO DE LOS PADRES, CHEF",CAJA CALCULADORA CUADERNO UTENSILIOS DE COCINA
1022,CAFÃ‰ KIOSCO,CAFETERO KIOSQUERO,"LAVA, LIMPIA, ORDENA. REPONE MERCADERIA","MAQUINA REGISTRADORA, CALCULADORA, CAFETERA"
1043,VILLA DEL SUR - FABRICA DE BEBIDAS,TRABAJADOR DE PLANTA DE EMBOTELLAMIENTO,MANTENIMIENTO Y MANEJO DE MAQUINARIA,MAQUINARIA PESADA
1059,OSEP - OBRA SOCIAL DE EMPLEADOS PUBLICOS,EMPLEADA ADMINISTRATIVA - GESTOR DE TRAMITES,"MANEJO DE ARCHIVOS, PAPELES, ADMINISTRACION",ELEMENTOS DE PAPELERIA
1060,MINIMARKET VENTA DE MERCADERIAS,CAJERO,COBRO DE DINERO POR LA VENTA DE MERCADERIA,CAJA REGISTRADORA
1062,OPERARIO DE BODEGA,OPERARIA,SE ENCARGA DE CAMIONES Y MAQUINAS,"CAMIONES, SIN FIN"
1066,SUBSECRETARIA DE TURISMO,COSTURERA DE TRAJES Y DISFRACES PARA VENDIMIA,CONFECCION DE TRAJES,COSER
1070,ALMACEN DE MERCADERIA,COMERCIANTE ALMACENERO,VENTA DE MERCADERIA,"HELADERAS, CORTADORA DE FIAMBRE"
1076,RESTAURANT,CHEFF,COCINAR,"OLLAS, CUCHILLAS, SARTEN"
1085,SERVICIO DE MANTENIMIENTO ELECTRICO,ELECTRICISTA,ENCARGADO DE MANTENIMIENTO EN BANCO NACION,"PINZAS, LLAVES, DESTORNILLADOR, TALADRO"
1093,SERVICIO GASTRONOMICO,AT AL PUBLICO / REPOSITOR,"COCINAR PAPAS, SERVIR HELADO, COBRAR","MAQUINA PARA HACER HELADO, FREIDORA"
1100,VENTA DE ROPA,VENDEDORA DE ROPA A DOMICILIO,VISITA DE CLIENTES COMPRA Y VENTA DE ROPA FEMENINA,"BOLSO, CUADERNO, LAPICERA"
1104,VENTA DE REPUESTOS DE VEHICULOS,ATENCION AL PUBLICO,DESARMA LOS VEHICULOS,"LLAVES, DESTORNILLADORES, SIERRA ELECTRICA"
1121,CONSTRUCCION Y REPARACION DE VIVIENDAS PARTICULARES,OFICIAL ALBAÑIL,LEVANTADO COMPLETO DE GRUESO Y REVOQUES FINOS. TECHOS CONEXIONES,"MAQUINA CEMENTERA, HERRAMIENTAS, SOLDADORA, MOLADORA, AGUJEREADORA"
1125,"SERVICIOS MEDICINALES, DERIVADOS MEDICINALES",COBRANZAS Y TRAMITES EXTERNOS,"COBRANZAS, TRAMITES, NOTIFICACIONES PARA CLINICAS, LABORATORIOS",NO
1134,GASISTA MATRICULADO,GASISTA MATRICULADO,VISITA CASAS TRABAJANDO COMO GASISTA,PINZAS PARA CAÑOS TERMOFUSORA
1135,PEDICURA A DOMICILIO Y EN EL HOGAR,PEDICURA,PEDICURIA A DOMICILIO,ELEMENTOS PARA REALIZAR LA PEDICURIA
1141,EDUCACION,DOCENTE,ENSEÑAR,"TIZA, UTILES ESCOLARES, CARPETAS"
1157,EN UN JARDIN DE INFANTES COMO AUXILIAR DOCENTE,AUXILIAR DOCENTE,"AYUDA A LAS DOCENTES DEL JARDIN, CUIDA NIÑOS, LES DA DE COMER","PAPELES, JUEGOS DIDACTICOS PARA NIÑOS"
1161,CONTRATISTA EN EL AREA DE CONSTRUCCION,TRABAJOS DE CONSTRUCCION EN GENERAL,"COLOCAR CERAMICA, TECHADO, REVOQUES, ABERTURAS, CAÑERIAS","PALA, PICO, MOLADORA, NIVEL, METRO"
1165,ADMINISTRACION DE COMERCIO,PERSONAL DE VIGILANCIA,VIGILANCIA NOCTURNA,TELEFONO PARA EMERGENCIAS
1166,EN UNA CASA DE CABLES Y CORDONES ELECTRICOS,SUPERVISORA,ASIGNAR TAREAS ESPECIFICAS PARA OTROS TRABAJADORES,NINGUNA
1167,EN UNA FABRICA QUE HACE FUNDAS PARA RADIO TRANSMISORES,EMPLEADA,TRABAJA HACIENDO LAS FUNDAS,"MAQUINA DE COSER, COSTURERO"
1172,TRABAJO ADMINISTRATIVO EN EMPRESA PRIVADA,ADMINISTRATIVA,TAREAS ADMINISTRATIVAS,COMPUTADORA
1175,TAXISTA,TAXISTA,"CONDUCIR EL TAXI, TRANSPORTE DE PASAJEROS",AUTOMOVIL
1176,AUTOMOVIL CLUB ACA,OPERADOR TELEFONICO,LEVANTAR LLAMADOS DE PEDIDOS PARA SERVICIO DE AUXILIOS,TELEFONO PARA EMERGENCIAS
1177,ESTUDIO JURIDICO,ABOGADO,COMO ABOGADO CIVIL,NINGUNA
1178,POLICLINICO BANCARIO,EMPLEADO ADMINISTRATIVO (SUBINTENDENTE),ENCARGADO DE SUPERVISAR TAREAS HOSPITALARIAS,"NO, SOLO COMPUTADORA"
1185,CIENCIAS MEDICAS,EMPLEADO DE CENTRO MEDICO,"REGISTRO PACIENTES, LLAMADO FICHAS",PC
1191,ARQUITECTO,ARQUITECTO - CARPINTERIA,"ARQUITECTO, ESPECIFICAMENTE LA CARPINTERIA DE LOS PROPIETARIOS","ELEMENTOS DE MEDICION, PC"
1192,NIÑERA,NIÑERA,CUIDABA A UN NIÑO DE BAÑO,NINGUNA
1193,TELECOMUNICACIONES (TELECENTRO),TECNICO ADMINISTRATIVO,"TECNICO, ADMINISTRATIVA (COORDINA A LOS TECNICOS QUE VAN A LOS DOMICILIOS, CALLE)",PC
1194,TELECOMUNICACIONES (TELECENTRO),ADMINISTRATIVA,TAREAS ADMINISTRATIVAS,PC
1200,ESTUDIO CONTABLE,CONTADOR,"REGISTRO DOCUMENTOS, TRAMITES AFIP, PAGOS",PC
1204,SERVICIO DE TRANSPORTE,CHOFER DE COLECTIVO,MANEJA COLECTIVOS,COLECTIVO
1205,HOSPITAL,AYUDANTE NUTRICIONISTA,"ENCARGADA DE SONDAS NASOGASTRICAS, MAMADERAS","SONDAS, ALIMENTOS, LECHE, GLUCOSA"
1206,EDUCACION INICIAL PRIVADA,AUXILIAR DE MAESTRA JARDINERA,"CAMBIADO DE PAÑALES, ALIMENTACION DE BEBES, ETC","PAÑALES, MAMADERAS, ALIMENTOS, JUEGOS"
1207,SUPERMERCADO,CAJERA,COBRANZAS,"DINERO, CAJA REGISTRADORA"
1209,CONCESIONARIA DE AUTOS,GERENTE DE VENTAS,CONTROL DE TAREAS DEL PERSONAL. LIQUIDACION DE VENTAS,COMPUTADORA Y TELEFONO
1214,JARDIN DE INFANTES,MAESTRA JARDINERA,EDUCAR NIÑOS EN ETAPA INICIAL,MATERIALES DE LIBRERÃA
1222,TRABAJA POR SU CUENTA,TECNICO AIRES ACONDICIONADOS,HACE INSTALACIONES,"AGUJEREADORA, GAS"
1239,ALIMENTACION - VENTA,VENDEDOR AMBULANTE EN LA CALLE,VENDEDOR,NINGUNA
1240,ALIMENTACION - VENTA,VENDEDOR AMBULANTE,VENDEDORA,NINGUNA
1241,ALIMENTACION - VENTA,VENDEDOR AMBULANTE,VENDEDORA,NINGUNA
1251,ESCUELA,DECORADORA,DECORACION DE VIVIENDAS,HERRAMIENTAS VARIAS
1254,PSICOLOGA Y JUBILADA DOCENCIA,PSICOLOGA - JUBILADA ORIENTACION VOCACIONAL Y PRECEPTORA,"PSICOLOGA, JUBILADA ORIENTACION VOCACIONAL","PAPELES, PROYECTORES"
1265,MANEJA UN KIOSCO DE DIARIOS,DIARIERO,ORGANIZACIÃ“N DE REPARTO DE DIARIOS,NINGUNA
1270,ESTRUCTURAS DE MADERA,HACIA PAG WEB,DISEÑO Y PUBLICACION DE LA PAGINA WEB,PC
1275,ESCUELA DE GASTRONOMIA,DOCENTE DE COCINA,DAR CLASE DE COCINA,"SARTENES, CACEROLAS, OLLAS, CUCHILLOS, HORNO"
1278,EDUCACION PRIMARIA PUBLICA,SECRETARIA ACADEMICO - DIRECTOR DE CARRERA,TAREA ADMINISTRATIVA Y PEDAGOGICA,"COMPUTADORA, TELEFONO, FOTOCOPIADORA, SCANNER"
1279,TRANSPORTE LOGISTICO PARA FABRICA DE AUTOMOVILES,EMPLEADO DE LOGISTICA,CONTROLA LA CARGA Y DESCARGA DE AUTOMOVILES,COMPUTADORA
1287,VENTA DE ROPA MARCA CONIGLIO,VENDEDORA DE ROPA INFANTIL,"ATENCION A PUBLICO, VENTAS",NO
1293,CLINICA PRIVADA DE UNA OBRA SOCIAL,"TECNICA INSTRUMENTADORA, AREA HEMOTERAPIA",TRANSFUSIONES DE SANGRE,"MATERIAL QUIRURGICO DESCARTABLE, VENOCLISIS, CENTRIFUGA"
1296,"EDIFICIO (ENCARGADO DE EDIFICIO, TERCERIZADO POR EMPRESA)",ENCARGADA DEL MANTENIMIENTO DE EDIFICIO,"MANTENIMIENTO, LIMPIEZA PASILLOS Y PUERTAS",ELEMENTOS DE ASEO
1298,EMPRESA DE CONSTRUCCION,SUPERVISION DE OBRAS EN CONSTRUCCION,CONTROL DE ELEMENTOS DE PROTECCION Y ACTIVIDADES DE CONSTRUCCION,"***COMPUTADORAS, SELLOS, LAPICES"
1301,DOCENTE,DOCENTE,DICTADO DE CLASES,MATERIAL GRAFICO
1323,INSTALACION Y REPARACION DE AIRE ACONDICIONADO,INSTALADOR DE AIRE ACONDICIONADO,INSTALA Y ARREGLA AIRE ACONDICIONADO EN DOMICILIO,"TALADRO, LLAVES, DESTORNILLADORES, AUTOGENA"
1324,EDIFICIO CONSORCIO,VIGILADOR PRIVADO,HACE VIGILANCIA,NO USA HERRAMIENTAS
1325,TEXTIL - CONFECCION ROPA,HACE PASAMANERIA,HACE FLECOS Y BURLAS EN LA ROPA,"TIJERAS, HILO, AGUJAS"
1334,SEGURIDAD,SEGURIDAD,MIRANDO LA GENTE,UNIFORME
1337,JEFATURA DE GABINETE EN AV DE MAYO,MAESTRANZA,"ATIENDO LAS REUNIONES, SIRVE AGUA Y CAFÃ‰",MAQUINA DE CAFÃ‰
1356,,EMPLEADA DOMESTICA,LIMPIEZA,"ESCOBA, TRAPOS"
1371,ANALISIS QUIMICO DE SUSTANCIAS PROHIBIDAS (DOPPING),ANALISTA QUIMICA,"DESARROLLO DE TAREAS DENTRO DEL LABORATORIO, ANALISIS DE RESULTADOS Y REALIZACION DE INFORMES","ESPECTRÃ“GRAFO DE GASES, AUTOCLAVE, BALANZA"
1372,VENDEDOR AMBULANTE,VENDEDOR,VENTA AL PUBLICO EN LA VIA PUBLICA,"NINGUNA, VENDE HERRAMIENTAS"
1388,EMPLEADO ADMINISTRATIVO PROSEGUR. INGRESO / EGRESO DE CAMIONES DE CAUDALES,ADMINISTRACION,INGRESO Y EGRESO DEL DINERO QUE ENTRA Y SALE CON CAMION,COMPUTADORA
1389,EMPLEADA ADMINISTRATIVA DE MASC (HOSP ALEMAN),ADMINISTRACION,CARGA DE HONORARIOS MEDICOS,COMPUTADORA
1398,FABRICA DE LAMPARAS Y VELADORES,TECNICO ELECTRONICO,INYECCION ELECTRONICA / CONTROL DE STOCK / DIVERSAS TAREAS,ESPECIFICAS DE SU EMPLEO
1402,POLICIA,POLICIA,SEGURIDAD PROVINCIAL,ARMA
1420,UNIVERSIDAD,INGENIERO AGROPECUARIO,PROFESOR,"TIZA, COMPUTADORA"
1422,ESTUDIO JURIDICO,ABOGADO,ASESORAMIENTO JURIDICO,COMPUTADORA
1424,EMPRESA CONSTRUCTORA,INGENIERO CIVIL,CONSTRUCCION - ADMINISTRATIVA,COMPUTADORA
1427,LOCAL COMERCIAL,EMPLEADO DE COMERCIO,ATENCION AL CLIENTE,"PAPEL Y LAPIZ, COMPUTADORA"
1432,ENCARGADO DE UN BOLICHE,ENCARGADO,"CONTROLAR EL PERSONA, COBRAR, ETC",CAJA REGISTRADORA
1439,MUSICO,MUSICO,TOCAR INSTRUMENTO MUSICAL,"MICROFONOS, CABLES, INSTRUMENTOS, ETC"
1443,COMERCIO,EMPLEADA,ATENCION AL PUBLICO,COMPUTADORA
1447,DOCENCIA EN LA UNIV. TECNOLOGICA,INGENIERO ELECTRONICO,ENSEÑAR,"TIZAS, PAPELES, PIZARRON, COMPUTADORA"
1448,CONTADORA,CONTADOR PUBLICO NACIONAL,"REGISTRA OPERACIONES, ANALISIS FISCALES, ETC","PAPELES, COMPUTADORA"
1452,MUSICA,DJ (DISCO PUB),PONER MUSICA EN BARES,"PC, CD, CABLES, PARLANTES, ETC"
1453,INSTITUCION SECUNDARIA PRIVADA,PROFESOR DE INGLES,ENSEÑAR LA LENGUA EXTRANJERA A LOS ESTUDIANTES,"AUDIOS EN INGLES (CD), FICHAS, MANUAL, TIZA"
1492,"VENTA DE HERRAMIENTAS, MAQUINA",VENDEDOR,"COMPRA Y VENTA DE HERRAMIENTAS, CLASES","MOSTRADOR, CAMIONETA, CELULAR, COMPUTADORA"
1496,,SERVICIO DOMESTICO - MUCAMA,"LIMPIEZA, ACOMODAR, LAVAR, COCINAR","ESCOBA, DETERGENTE, COCINA, HELADERA"
1509,FLETES / VIAJES,CHOFER,"MANEJAR, LAVAR CAMIONETA","CAMIONETA, CELULAR"
1516,CONSTRUCCION,OBRERO,"CAVAR, CONSTRUIR, COMPRAR","UNIFORME, BOTINES, CASCOS, HERRAMIENTAS"
1519,SERVICIOS DE SALUD,ENFERMERO,"CURAR, TOMAR LA PRESION, LIMPIAR","CAMILLAS, UNIFORME, GUANTES"
1525,LIMONES,,"TRABAJAR LA TIERRA, COSECHA DE LIMONES","PALA, CARRETILLA, TIJERAS"
1533,VENTA DE CARNE,CARNICERO,"VENTA DE CARNE, LIMPIEZA","CUCHILLO, BALANZA, HELADERA"
1537,CHAPA Y PINTURA DE AUTOS,CHAPISTA - PINTOR,"CHAPA DE AUTO, PREPARAR PINTURA, PINTOR","AUTO, PINCELES, PISAS, GUANTES, BALDES"
1539,CHAPA Y PINTURA DE AUTOS,CHAPISTA - PINTOR,"CHAPA DE AUTO, ATENCION AL PUBLICO, LAVAR","AUTO, PINCELES, PISAS, GUANTES, BALDES"
1540,TRATAMIENTOS DE BELLEZA,DEPILADORA,"PREPARAR EL LUGAR Y MATERIAL DE TRABAJO, DEPILAR","CAMILLA, FUNDIDORA DE CERA, TIJERAS"
1547,PLAYERO EN UNA ESTACION DE SERVICIO,VENDEDOR DE COMBUSTIBLE,"CARGABA COMBUSTIBLE, ATENCION AL PUBLICO","COMPUTADORAS, MAQUINAS DE COMBUSTIBLE, BOTINES"
1572,CONSTRUCCIONES DE MADERAS,CARPINTERO,"COMPRAS, VENDIA, CORTABA, MARTILLABA","MADERA, MESA, CALCULADORA, DELANTAL"
1574,EMPRESA DE TRANSPORTE,TRANSPORTISTA,CONDUCIR UN CAMION,"TENAZA, LLAVE DE RUEDA, GATO"
1584,DOCENTE,PROFESORA,"EDUCA, PLANIFICA","LIBROS, LAPICERA, CUADERNO"
1587,ESTUDIO CONTABLE,EMPLEADA ADMINISTRATIVA,"LIQUIDACION DE SUELDO, INGRESOS BRUTOS, IVA, CONTABILIDAD",
1588,ESTUDIO CONTABLE,JEFE ADMINISTRATIVO,"ORGANIZAR, REPARTIR TAREAS, ENCARGADO DE LAS RELACIONES EXTERIORES",
1590,INSTITUCION EDUCATIVA,DOCENTE,ENSEÑABA MATEMATICA,PIZARRON Y TIZAS
1597,ESTUDIO CONTABLE,ADMINISTRATIVO,LO MISMO QUE LA MADRE,"COMPUTADORA, ESCRITORIO"
1599,ACTIVIDAD BANCARIA,ADMINISTRATIVO,"LIQUIDACION DE SUELDO, TAREAS ADMINISTRATIVAS","ESCRITORIO, COMPUTADORA, CUADERNO DIARIO"
1607,COMERCIO,COMERCIANTE,"ATENCION AL PUBLICO, PEDIDOS DE MERCADERIA",COMPUTADORA
1609,IMPRENTA,DISEÑADORA,DISEÑA PUBLICIDAD GRAFICA,COMPUTADORA
1611,SERVICIOS DE EDUCACION,DOCENTE,"DICTAR CLASES, ENSEÑAR","UTILES, LIBROS, TIZA, PIZARRON"
1616,,EMPLEADA DOMESTICA,,
1618,,EMPLEADA DOMESTICA,ASEO DE VIVIENDAS,ARTICULOS DE LIMPIEZA
1619,"IMPRESIÃ“N DE PLANOS, PLOTEOS",EMPLEADO TECNICO,MANEJA COMPUTADORA PARA DISEÑAR E IMPRIMIR PLANOS,"IMPRESORAS, COMPUTADORA"
1624,SERVICIO DE LAVADO DE VEHICULOS,LAVADOR DE AUTOS,LIMPIA VEHICULOS,"HIDROLAVADORA, CEPILLO"
1651,CARTONERO,CARTONERO,"LEVANTA VIDRIOS, CARTONES Y CHAPAS Y LAS VENDE",CARRO
1652,VIVIENDA PARTICULAR,EMPLEADA DOMESTICA,ASEO DE VIVIENDAS,ART. DE LIMPIEZA
1653,PROPIEDAD HORIZONTAL,CONSERJE,LIMPIEZA Y MANTENIMIENTO,"LAMPAZO, ESCOBA, PALA"
1656,,ATENCION GERIATRICA,CUIDADO DE GERONTES,"PAPAGALLO, GUANTES"
1657,HOTEL,TRADUCTORA,TRADUCCION,LAPICERA
1659,ESCUELA NIVEL PRIMARIA,DOCENTE,DICTADO DE CLASES,"TIZA, COMPUTADORA, LIBROS"
1660,UNIVERSIDAD,ADMINISTRATIVA,CARGA Y MANEJO DE EXPEDIENTES,"COMPUTADORA, REGLAMENTO"
1665,,EMPLEADA DOMESTICA,LIMPIEZA,"ESCOBA, PLUMERO"
1666,COMERCIO,ATENCION AL PUBLICO,ATENCION AL PUBLICO,UNIFORME
1667,DIRECCION DE PERSONAS JURIDICAS,ADMINISTRATIVO,DAR TURNO PARA SACAR LA PERSONERIA JURIDICA,COMPUTADORA
1671,PANADERIA,VENDEDORA,ATENCION AL PUBLICO,BALANZA
1672,OBRA SOCIAL,ADMINISTRATIVO,TRAMITACION DE OBRA SOCIAL,COMPUTADORA
1679,ENTIDAD FINANCIERA,SECRETARIA,"ATENCION AL PUBLICO, CONTROL DE AGENDA DE GERENTE","COMPUTADORA, TELEFONO"
1680,FINCA,RESPONSABLE DE SISTEMA DE RIEGO,CONTROL DE RIEGO,"TIJERA, TRACTOR"
1681,,EMPLEADA DOMESTICA,CUIDADO DE GERONTES,"GUANTES, PAÑALES, PAPAGAYOS"
1682,TALLER DE AUTOS,MECANICO,REPARACION DE AUTOMOVILES,"PINZA, LLAVES, DESTORNILLADOR, GATO HIDRAULICO"
1689,HELADERA,VENDEDORA,ATENCION AL PUBLICO,BALANZA
1696,CONSTRUCCION,TECNICO EN CONSTRUCCION,SUPERVISION DE OBRA,CAMIONETA
1707,"ESPECTACULOS CULTURALES (TEATRO, MUSICO, CINE)",ACOMODADORA DE SALA TEATRAL / CINE - ATENCION AL PUBLICO,"ACOMODA ESPECTADORES EN SALAS, ORIENTA PUBLICO","LINTERNA, LLAVES"
1709,"PRESTA SERVICIOS DE SALUD HOSPITAL PUBLICO, AREA DE EVALUACION PARA PENSIONES POR DISCAPACIDAD",MEDICO CIRUJANO,JUNTA DE EVALUACION PARA DISCAPACIDAD GOB CIUDAD,LAPIZ Y PAPEL
1710,SENADO DE LA NACION DESPACHO,"LIC. EN RELACIONES PUBLICAS, ADMINISTRACION",ADMINISTRACION AGENDA DEL DESPACHO,"PC, TELEFONO, LAPICERA, AGENDA"
1714,COMPRA Y VENTA DE MUEBLES,VENDEDOR,VENDEDOR MONOTRIBUTISTA,MUEBLES
1717,EMPLEADA ADMINISTRATIVA,ADMINISTRATIVO,TAREAS ADMINISTRATIVAS,MAQUINAS DE ESCRIBIR ELECTRICA
1718,EMPLEADA CONTABLE,ADMINISTRATIVO CONTABLE,TAREAS CONTABLES,PC
1731,SERVICIO DOMESTICO EN UNA CASA A TIEMPO COMPLETO - AMA DE CASA,SERVICIO DOMESTICO,LIMPIEZA - CUIDADO DE CHICOS DE TODO,ELEMENTOS DE LIMPIEZA
1733,FABRICA CONDENSADORES BOBINADO PAPEL SEDA ALUMINIO,OPERARIA,BOBINAR,MAQUINA DE BOBINAR
1735,CONSULTORA EN SISTEMAS DE SOFTWARE,TENDIDO DE REDES (INFORMATICA),MANEJO DE COMPUTADORAS Y SISTEMAS INFORMATICOS,COMPUTADORA
1737,DERIVACION DE PACIENTES DE OBRAS SOCIALES PARA AT MEDICA,TELEFONISTA DE ATENCION A PACIENTES DE OBRAS SOCIALES,ATENDER TELEFONO PARA ASESORAR,TELEFONO
1738,ENSEÑAR NIVEL PRIMARIO,DOCENTE ESCUELA PRIMARIA,IMPARTIR EDUCACION EN ESCUELA PRIMARIA (1Â° GRADO),"TIZA, PIZARRON"
1742,SEGURIDAD PUBLICA (POLICIA FEDERAL),SUBOFICIAL POLICIA FEDERAL,SEGURIDAD PUBLICA,ARMAS REGLAMENTARIAS
1744,ENSEÑANZA SUPERIOR,DOCENCIA SUPERIOR,DICTADO DE CLASES NIVEL SUPERIOR,"PIZARRON, TIZAS, PROYECTOR, LIBROS"
1754,ESCUELA DE EDUCACION ESPECIAL,MAESTRA PSICOPEDAGOGA,"ASESORAMIENTO Y ORIENTACION A DOCENTES, PADRES Y ALUMNOS","PAPEL, LAPIZ, TIZA, PIZARRON"
1764,PELUQUERIA FEMENINA,MANICURA,MANICURIA,"ESMALTES, LIMAS"
1772,AUTOPARTES,"AUTONOMO, VENDEDOR",VENTA DE REPUESTOS,"COMPUTADORA, PRODUCTOS, REPUESTOS"
1776,DOCENTE ESCUELA TECNICA,DOCENCIA,ENSEÑAR Y EVALUAR,MATERIALES DE TALLER (MECANICA Y ELECTRICIDAD)
1777,DOCENTE DE COMPUTACION Y MATEMATICAS,DOCENCIA,ENSEÑAR Y EVALUAR (INDIVIDUAL Y GRUPALMENTE) CLASES DE APOYO,MATERIAL DIDACTICO DE MATEMATICAS Y COMPUTACION
1780,EMPLEADA EN FARMACIA (ESPECIALISTA),EMPLEADA ESPECIALISTA,EMPLEADA DE FARMACIA,"VADEMECUM, CAJA, DROGAS"
1781,NUNCA TRABAJO (SIEMPRE AMA DE CASA),,,
1787,CATERING MEXICANO / HOGAR,CHEF,COCINA,"HORNO, UTENSILIOS DE COCINA"
1788,MINISTERIO DE CULTURA,INVESTIGADORA,INVESTIGAR / ENTREVISTAS,COMPUTADORA
1790,PUESTO DE DIARIO (DOMINGO),VENDEDORA,VENDE DIARIOS Y REVISTAS,NO
1793,ELABORACION DE PROTESIS DENTALES (MECANICA DENTAL),MECANICO DENTAL,"HACIA LAS PROTESIS, ESMALTE, PULIDO","TORNO, MOTORES ELECTRICOS, PULIDORA, PINZAS, ESPATULAS"
1800,HABILITACIONES DE NEGOCIOS,GESTOR,"GESTORIA, TRAMITES PARA TERCEROS","COMPUTADORA, INTERNET"
1802,"INDUSTRIA DEL PLASTICO, FABRICA",OPERARIO,"PAÑOL, MANEJO DE PEDIDOS DE MERCADERIA Y ENTREGA DE MATERIALES",LINEA DE PRODUCCION
1810,PAMI,ADMINISTRATIVA,RRHH,"COMPUTADORA, OFICINA"
1816,ESCUELA INICIAL PRIVADA,DOCENTE,ENSEÑANZA,"NINGUNA (VOZ, CUERPO)"
1817,PSICOLOGIA CLINICA (CONSULTORIO),PSICOLOGA,ASISTENCIA DE PACIENTES,NO
1821,SANATORIO,CUIDABA PACIENTE,"CUIDADO PACIENTE, CAMBIO DE PAÑALES",NO USABA
